e, e_dot, e_int, stamp, 
-0.0001792066273813564, -0.0006221067995119492, -1.6939496190445287e-05, 496854000000, 
-0.00022299329669706047, -0.0004689402291650306, -3.2300743468397875e-05, 496956000000, 
-6.229412925939926e-05, 0.0003897083270731905, -3.096627022252108e-05, 497058000000, 
0.00016303610540613356, 0.0012867646736773135, -8.150088036688411e-06, 497160000000, 
0.0003383078268119899, 0.0013353398535712973, 2.9269986863914945e-05, 497262000000, 
0.00041323719306096685, 0.000834003625516111, 6.097207501860602e-05, 497364000000, 
0.0003185213933418751, -6.595477823371591e-05, 7.133776088098879e-05, 497466000000, 
0.00011194777590195493, -0.0010042980571967064, 5.624709082031979e-05, 497568000000, 
4.0804162604546335e-05, -0.0009257241024577626, 3.141822212322509e-05, 497670000000, 
-0.00011156581340387994, -0.0007450452976861163, 2.7457416735080877e-06, 497772000000, 
-0.00037116451164154185, -0.0013732289141536274, -2.946174416272503e-05, 497874000000, 
-0.0003133786485345347, -0.0006727094504355158, -5.30739315719971e-05, 497976000000, 
9.813508050626751e-08, 0.0012375421557401605, -4.5629668339704685e-05, 498078000000, 
0.00012022480902618149, 0.0014453448585357205, -1.2870380295189795e-05, 498146000000, 
0.0001762005793100041, 0.0005870081474316594, 1.9768234894446123e-05, 498248000000, 
0.000401685025535059, 0.0009382007216962585, 4.6540694258082974e-05, 498350000000, 
0.00048177333714494175, 0.0010185758594497922, 7.064392946600032e-05, 498452000000, 
0.00032610212882033807, -0.00025194298904906987, 8.063736610002259e-05, 498554000000, 
0.0001709341269056086, -0.0010361307007977771, 6.525397285805923e-05, 498656000000, 
0.00014673467588988132, -0.0005978915097681892, 4.291806210772186e-05, 498758000000, 
-0.000193206419798031, -0.0012138018223454654, 8.297492199830595e-06, 498860000000, 
-0.00040266538994093715, -0.0018313335527693948, -2.994247558993912e-05, 498962000000, 
-0.0004259820981358242, -0.000775918927792644, -6.812359385831949e-05, 499064000000, 
-0.00022893732072204465, 0.000579093564062975, -7.05056539199204e-05, 499166000000, 
5.8708507586935355e-05, 0.0016156353524091986, -3.97473940847289e-05, 499268000000, 
0.00024820557041493885, 0.001590476303789945, 5.19845048532197e-06, 499370000000, 
0.00025912035535902156, 0.0006680394925736207, 3.7735628890726385e-05, 499472000000, 
0.00036378043872975496, 0.00038524956104938707, 5.8073757633581026e-05, 499574000000, 
0.0003481922638268742, 0.0002969063615595087, 6.473953719437671e-05, 499676000000, 
-3.1357948074406394e-05, -0.0013171279560138711, 4.5374316965481514e-05, 499744000000, 
-0.0002560999780412132, -0.0020143074728936248, 4.0489558474169724e-06, 499846000000, 
-0.0005454509452382794, -0.0017136433238795767, -5.552725809025993e-05, 499948000000, 
-0.0007526193211127019, -0.0016550644769049623, -0.0001036113496261463, 500050000000, 
-0.0008303748352413987, -0.0009497463000103975, -0.00014189634010615867, 500152000000, 
-0.000823439614423993, -0.00023606764437097047, -0.00016042891805187292, 500254000000, 
-0.0007038436055306629, 0.00042177076570245237, -0.00015717720367973697, 500356000000, 
-0.0004727707562157679, 0.0011688961940274172, -0.00013333693174469492, 500458000000, 
-0.000217823483295021, 0.0016200670741188066, -9.296252300276346e-05, 500560000000, 
-0.00020096425883253666, 0.0009060216579441042, -5.943723322288837e-05, 500662000000, 
-0.00016184083313519615, 0.00018660883386608282, -3.8708571684183583e-05, 500764000000, 
-0.00013201108927796135, 0.00022984389851525103, -3.298774541637961e-05, 500866000000, 
-0.00022426705354749998, -0.00020808740137434611, -3.4541265064043834e-05, 500968000000, 
-0.00038568059361598905, -0.0008455650144600924, -4.946391576276336e-05, 501070000000, 
-0.0005646527377418664, -0.0011346189473145547, -7.830669232702369e-05, 501172000000, 
-0.0005876834683506971, -0.00067334291578236, -0.0001025344533139035, 501274000000, 
-0.0007431015270955577, -0.0005948292978456374, -0.00012636251554587474, 501342000000, 
-0.0009807704476600954, -0.0013102899310313276, -0.00015410369620709, 501444000000, 
-0.001021229900449061, -0.0009270945778450113, -0.00018300679168031426, 501546000000, 
-0.0008642701148400267, 0.0003883344427335622, -0.00019108469752994554, 501648000000, 
-0.0008189357420886889, 0.0006743138612012404, -0.00018029571715851844, 501750000000, 
-0.0005967470897623173, 0.000891743416925698, -0.00015199686311273553, 501852000000, 
-0.0003586405671947013, 0.0015343172496466255, -0.00011828822660304716, 501954000000, 
-0.0002286947813958662, 0.0012268410278881703, -7.893882922352564e-05, 502056000000, 
-0.00014086984950112402, 0.0007259023923119242, -4.8547013206112766e-05, 502158000000, 
-4.866390135838117e-05, 0.0006001029334582834, -2.7881902150358093e-05, 502260000000, 
-0.00015813774647854828, -5.755965659141419e-05, -2.3178099822536898e-05, 502362000000, 
-0.000358175646112846, -0.0010317058158482162, -3.7665152929985034e-05, 502464000000, 
-0.00046701193536868857, -0.001029580629633801, -6.555502186400552e-05, 502566000000, 
-0.0005259382971527504, -0.0005592088367996814, -9.0075058575619e-05, 502668000000, 
-0.0002686423544311367, 0.0006612319364585062, -8.410617246350505e-05, 502770000000, 
-1.959862997069628e-05, 0.001687798890606847, -5.427861877030556e-05, 502872000000, 
4.088815717073757e-05, 0.0010317683720062476, -1.6490188482073027e-05, 502940000000, 
0.00019663685710091805, 0.0007207849569053811, 1.4528425620063955e-05, 503042000000, 
0.00017808740801728007, 0.00045733083615514164, 2.7707494819262378e-05, 503144000000, 
0.19887286263688164, 0.6622540859326024, 0.013283172460133323, 503246000000, 
0.20028136374103922, 0.6670109211100731, 0.026622154252395877, 503348000000, 
0.20183292753983473, 0.009866883009843619, 0.04006581026118371, 503450000000, 
0.20336049219457752, 0.010263761511794348, 0.0403649855650301, 503552000000, 
0.18634214599133858, -0.051635938494987155, 0.03943570438171672, 503654000000, 
0.11655588809631667, -0.2893486803275362, 0.03375056841881552, 503756000000, 
0.05846376371931572, -0.4262612742400762, 0.02409078652046473, 503858000000, 
0.041353169121046696, -0.2506757299175666, 0.014424854729111938, 503960000000, 
0.030210139769012656, -0.09417874650101021, 0.008668471507291671, 504062000000, 
0.026011295315295335, -0.05113957935250454, 0.006504973613690312, 504164000000, 
0.03867611453871067, 0.02821991589899338, 0.006326503308201244, 504266000000, 
0.05574397831979283, 0.09910894334832498, 0.008028759211586588, 504368000000, 
0.060910063466442566, 0.07411316309243965, 0.010355343754996405, 504470000000, 
