imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.04285248342382473, -0.009019815200161605, -0.03223464850229513, 3.51669946843093e-11, -0.0005333269186025392, -6.59389081212258e-08, 0.10586175276827268, -6.257499584365216e-07, 118490000000, 
-0.05927741920648681, -0.0017367104696762857, -0.05357310864998451, -5.228293429195464e-10, -0.0007946670191326731, 6.579225390405409e-07, 0.11992030947689031, -5.754767643837169e-07, 118555000000, 
-0.06363745847139413, 0.05358447088184352, -0.06151332031061206, 4.4265559910642676e-08, -0.0013169749450034915, -3.3611542936775705e-05, 0.12100233912493273, -5.682383675173025e-07, 118660000000, 
-0.027870143949272046, 0.02065797286570598, -0.034865818696770995, 4.2166222583460904e-08, -0.00147406148789109, -2.8605470619673584e-05, 0.12022972211740707, -5.708704092691583e-07, 118760000000, 
-0.17970912780590478, 0.02388758267720116, -0.1493266996341063, 0.00043661800186484167, 0.026986210382558513, 0.01617930030468571, 0.12160171778646582, -8.173247738339805e-07, 118855000000, 
-0.044323768504848274, 0.04785372679163937, -0.06593561641503339, 0.040719574838118396, 0.0807902040997512, 0.5040162392440818, 0.12592506125046934, 1.7612030890158744e-05, 118955000000, 
-0.08330918674635096, 0.012886715891237605, -0.07964432426010354, 0.040763025532790216, 0.08247188063181041, 0.4942657451304369, 0.13420228150669278, 0.0001708462191619707, 119055000000, 
-0.030319094936448104, 0.049063649145214515, -0.04052210566426102, 0.04556807778246304, 0.0950734039602125, 0.47929363927616325, 0.14288574403162083, 0.0007623115736957729, 119155000000, 
-0.055131249014833524, 0.03724787488896681, -0.052067476509189, 0.04578405734556251, 0.09380702923276396, 0.48806638180554945, 0.15244939373307811, 0.0018929388998856567, 119255000000, 
-0.05947351003384144, 0.09418243994978713, -0.0578212299859284, 0.05573063650274104, 0.1112934188608305, 0.5007541063360695, 0.16215603124926384, 0.003516191680197066, 119350000000, 
-0.04596390834600666, 0.030415494450874082, -0.048495452659009654, 0.04678552944834717, 0.09357011462870402, 0.500005045777672, 0.1727447996463568, 0.00583270480912331, 119450000000, 
